City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
79,Hovd,48.0056,91.6419,broken clouds,55.96,38,76,8.9,MN
80,Balaipungut,1.05,101.2833,moderate rain,73.98,95,100,2.71,ID
81,Saint-Philippe,-21.3585,55.7679,scattered clouds,72.99,84,34,10.78,RE
82,Aranos,-24.1333,19.1167,clear sky,51.89,55,0,11.16,NA
83,Alofi,-19.0595,-169.9187,overcast clouds,78.69,89,94,3.44,NU
84,Barranca,-10.75,-77.7667,few clouds,66.34,81,19,7.9,PE
85,Luderitz,-26.6481,15.1594,clear sky,54.88,77,0,16.49,NA
86,Bintulu,3.1667,113.0333,light rain,77.41,94,20,7.0,MY
87,Pathein,16.7833,94.7333,overcast clouds,79.77,82,100,4.56,MM
88,Blagoyevo,63.3667,47.9167,broken clouds,45.97,87,82,9.28,RU
89,Tema,5.667,-0.0166,few clouds,81.01,89,20,5.75,GH
90,Lagoa,39.05,-27.9833,broken clouds,60.35,72,59,4.07,PT
91,Swellendam,-34.0226,20.4417,clear sky,52.3,89,4,2.3,ZA
92,Padang,-0.9492,100.3543,light rain,77.94,81,100,4.25,ID
93,Funtua,11.5233,7.3081,overcast clouds,86.38,37,93,13.58,NG
94,Brokopondo,4.75,-55.1667,broken clouds,77.29,89,68,8.12,SR
95,Ullapool,57.8987,-5.1604,overcast clouds,47.34,77,98,5.26,GB
96,Vagur,61.4732,-6.8119,overcast clouds,44.74,79,97,13.53,FO
97,Saldanha,-33.0117,17.9442,clear sky,51.85,81,0,15.55,ZA
98,Oussouye,12.485,-16.5469,clear sky,78.98,70,4,8.37,SN
99,Lorengau,-2.0226,147.2712,scattered clouds,83.03,82,49,14.14,PG
100,Hirara,24.8,125.2833,broken clouds,75.47,100,75,6.91,JP
101,Chipinge,-20.1883,32.6236,few clouds,59.92,62,23,2.64,ZW
102,Taganak,6.0833,118.3,overcast clouds,78.94,76,96,3.47,PH
103,Torbay,47.6666,-52.7314,broken clouds,40.28,75,75,3.44,CA
104,Orlik,52.5178,99.825,scattered clouds,43.11,62,42,3.31,RU
105,Sirjan,29.452,55.6814,broken clouds,65.17,39,66,3.67,IR
106,Port Elizabeth,-33.918,25.5701,few clouds,60.31,76,20,4.61,ZA
107,Palmer,42.1584,-72.3287,broken clouds,51.4,29,75,12.66,US
108,Gizo,-8.103,156.8419,light rain,83.98,74,94,7.05,SB
109,Vila,42.0304,-8.1588,overcast clouds,56.28,65,99,2.95,PT
110,Pangoa,-12.1167,-73.0,broken clouds,72.41,80,77,1.1,PE
111,Vila Velha,-20.3297,-40.2925,broken clouds,75.15,83,75,10.36,BR
112,Dikson,73.5069,80.5464,overcast clouds,5.27,97,96,10.07,RU
113,Hare Bay,48.8499,-54.0148,broken clouds,36.75,67,64,11.79,CA
114,Sept-Iles,50.2001,-66.3821,clear sky,41.05,63,0,6.91,CA
115,Orleans,30.0335,-89.9501,clear sky,89.01,54,0,4.61,US
116,New Richmond,45.123,-92.5366,clear sky,74.88,20,0,19.57,US
117,Tougue,11.4667,-11.6,broken clouds,81.32,40,80,6.2,GN
118,Dandong,40.1292,124.3947,overcast clouds,52.47,36,100,5.39,CN
119,Saint-Joseph,-21.3667,55.6167,scattered clouds,71.98,79,27,10.27,RE
120,Saskylakh,71.9167,114.0833,few clouds,8.04,93,22,10.16,RU
121,Hasaki,35.7333,140.8333,broken clouds,66.6,63,72,22.44,JP
122,Terralba,39.7192,8.6392,broken clouds,59.18,89,64,4.43,IT
123,Antananarivo,-18.9137,47.5361,broken clouds,64.36,94,75,4.61,MG
124,Hithadhoo,-0.6,73.0833,few clouds,83.46,78,13,16.15,MV
125,Avarua,-21.2078,-159.775,overcast clouds,80.64,74,100,5.5,CK
126,Leningradskiy,69.3833,178.4167,broken clouds,27.52,84,60,3.22,RU
127,Nouakchott,18.0858,-15.9785,clear sky,67.93,72,1,18.21,MR
128,Carnarvon,-24.8667,113.6333,scattered clouds,62.67,88,40,4.61,AU
129,Magsalangi,12.1828,123.5666,clear sky,82.4,79,9,14.07,PH
130,Korla,41.7597,86.1469,broken clouds,70.9,43,77,9.8,CN
131,Kodiak,57.79,-152.4072,clear sky,56.71,38,0,17.27,US
132,Petropavlovsk-Kamchatskiy,53.0452,158.6483,clear sky,59.59,41,0,2.24,RU
133,Asyut,27.181,31.1837,scattered clouds,73.58,17,46,6.85,EG
134,San Patricio,28.017,-97.5169,clear sky,97.18,56,0,18.21,US
135,Hargeysa,9.56,44.065,few clouds,72.01,68,23,3.24,SO
136,Oktyabrskoye,43.0645,44.7417,overcast clouds,41.14,100,100,6.71,RU
137,Pangani,-5.4333,38.9667,broken clouds,75.29,87,79,8.48,TZ
138,Chimbote,-9.0853,-78.5783,few clouds,66.36,85,15,9.53,PE
139,Vardo,70.3705,31.1107,scattered clouds,35.58,75,40,24.16,NO
140,Chokurdakh,70.6333,147.9167,overcast clouds,17.29,90,99,12.03,RU
141,Moose Factory,51.2585,-80.6094,clear sky,44.6,61,0,16.11,CA
142,Maridi,4.9158,29.4742,broken clouds,67.71,90,79,1.66,SS
143,Kirakira,-10.4544,161.9205,broken clouds,83.57,78,80,10.74,SB
144,Srandakan,-7.9386,110.2506,overcast clouds,77.11,88,91,3.38,ID
145,Los Llanos De Aridane,28.6585,-17.9182,scattered clouds,64.15,68,40,10.36,ES
146,Kotovo,50.3211,44.8012,few clouds,42.75,55,16,8.14,RU
147,Longyearbyen,78.2186,15.6401,few clouds,12.04,57,20,14.97,SJ
148,Homer,59.6425,-151.5483,clear sky,55.27,70,0,12.66,US
149,Upernavik,72.7868,-56.1549,few clouds,11.86,82,12,5.93,GL
150,Kearney,40.6995,-99.0815,few clouds,77.56,60,20,31.07,US
151,Carberry,49.8689,-99.3602,overcast clouds,68.23,59,100,26.22,CA
152,Mahebourg,-20.4081,57.7,few clouds,76.24,76,19,14.16,MU
153,La Rioja,42.25,-2.5,clear sky,44.38,86,7,4.81,ES
154,Nikolskoye,59.7035,30.7861,light rain,53.49,94,100,8.55,RU
155,Stornoway,58.2093,-6.3865,overcast clouds,46.92,83,100,0.0,GB
156,Road Town,18.4167,-64.6167,scattered clouds,80.69,74,40,10.36,VG
157,Lisala,2.15,21.5167,light rain,71.71,90,31,1.59,CD
158,Sola,-13.8833,167.55,clear sky,81.95,71,2,20.4,VU
159,Ponta Do Sol,32.6667,-17.1,scattered clouds,63.23,68,49,7.31,PT
160,Kaitangata,-46.2817,169.8464,light rain,54.79,94,100,1.5,NZ
161,Touros,-5.1989,-35.4608,light rain,77.09,88,100,9.82,BR
162,Belyy Yar,53.6039,91.3903,scattered clouds,42.69,56,40,11.18,RU
163,Nimaparha,20.0667,86.0167,clear sky,79.2,88,3,3.44,IN
164,Kalmunai,7.4167,81.8167,overcast clouds,80.44,83,100,4.52,LK
165,Lasa,46.6166,10.7002,overcast clouds,52.68,95,100,2.55,IT
166,Nalut,30.3333,10.85,clear sky,64.87,31,1,9.64,LY
167,Houma,29.5958,-90.7195,clear sky,88.02,71,0,10.36,US
168,Namibe,-15.1961,12.1522,clear sky,72.1,73,1,4.65,AO
169,Tomatlan,19.9333,-105.25,clear sky,86.63,43,0,11.52,MX
170,Vila Franca Do Campo,37.7167,-25.4333,overcast clouds,67.19,93,95,0.98,PT
171,Catamarca,-28.4696,-65.7852,scattered clouds,65.59,61,38,13.76,AR
172,Araure,9.5601,-69.2148,broken clouds,75.58,90,76,2.84,VE
173,Umm Lajj,25.0213,37.2685,clear sky,76.44,42,0,10.0,SA
174,Bafia,4.75,11.2333,overcast clouds,70.99,98,100,1.14,CM
175,Mujiayingzi,42.1167,118.7833,overcast clouds,45.43,52,100,5.03,CN
176,Geraldton,-28.7667,114.6,clear sky,57.61,77,9,6.91,AU
177,Itarema,-2.9248,-39.9167,broken clouds,77.72,89,84,9.93,BR
178,Anzhero-Sudzhensk,56.081,86.0285,overcast clouds,30.15,53,87,9.75,RU
179,Bambous Virieux,-20.3428,57.7575,few clouds,77.22,76,23,14.14,MU
180,San Juan,-31.5375,-68.5364,overcast clouds,69.51,27,100,4.03,AR
181,Tieli,46.95,128.05,clear sky,46.51,54,0,5.77,CN
