City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
192,Zhob,PK,75.34,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
193,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
196,Bodden Town,KY,84.99,scattered clouds,19.2833,-81.25,Will T Place
198,Laguna,US,76.95,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
199,Pasni,PK,80.02,clear sky,25.2631,63.471,Kashmiri Hotal
200,Luwuk,ID,80.33,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
201,Tra Vinh,VN,79.43,overcast clouds,9.9347,106.3453,Hồng Ân
203,Thio,NC,78.76,overcast clouds,-21.6167,166.2167,La Ferme de Thio
207,Praya,CV,72.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
208,Aden,YE,84.31,broken clouds,12.7794,45.0367,Sama Emirate Hotel
209,Kenora,CA,72.57,broken clouds,49.8167,-94.4337,Maynard Lake Lodge
210,Colonia Leopoldina,BR,74.05,broken clouds,-8.9089,-35.725,Pousada Encontro dos Amigos
212,Faanui,PF,81.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
214,Thompson,CA,66.36,overcast clouds,55.7435,-97.8558,Burntwood Hotel
216,Koumac,NC,78.82,broken clouds,-20.5667,164.2833,Le Monitel
218,Mayumba,GA,76.57,overcast clouds,-3.432,10.6554,LIKWALE LODGE
220,Gamba,GA,75.92,broken clouds,-2.65,10.0,
221,Mar Del Plata,AR,65.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
222,Mitsamiouli,KM,80.82,few clouds,-11.3847,43.2844,Foyer ADM
224,Ribeira Grande,PT,61.81,broken clouds,38.5167,-28.7,Quinta da Meia Eira
227,Setubal,PT,68.0,broken clouds,38.5244,-8.8882,Luna Esperanca Centro Hotel
228,Sturgis,US,66.33,clear sky,41.7992,-85.4192,Best Western Plus Howe Inn
229,Biltine,TD,88.21,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
230,Miraflores,MX,84.87,broken clouds,19.2167,-98.8083,Hotel Mansión
231,Souillac,MU,74.84,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
232,Puqi,CN,72.14,overcast clouds,29.7167,113.8833,Ramada Plaza Chibi
234,Pafos,CY,60.58,clear sky,34.7667,32.4167,Elysium Hotel
235,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
236,Umm Kaddadah,SD,79.47,scattered clouds,13.6017,26.6876,
239,Cabo San Lucas,MX,88.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
240,Paka,MY,76.98,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
241,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
242,Presidente Medici,BR,75.72,clear sky,-11.1753,-61.9014,Oliveira Palace Hotel
244,Sabha,LY,75.54,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
246,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
247,East London,ZA,61.65,heavy intensity rain,-33.0153,27.9116,Tu Casa
251,Humberto De Campos,BR,76.33,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
252,Vallenar,CL,60.98,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
253,Eenhana,,63.93,scattered clouds,-17.4667,16.3333,Hotel Litu
256,Kudahuvadhoo,MV,83.77,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
257,Palatka,US,85.05,clear sky,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
258,Bati,ET,68.86,moderate rain,11.1833,40.0167,Meqdela Hotel
267,Kaputa,ZM,68.18,broken clouds,-8.4689,29.6619,Chelelwa Charlets
268,Impfondo,CG,69.85,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
275,Aksu,CN,67.39,clear sky,41.1231,80.2644,Pudong Holiday Hotel
277,Dawlatabad,AF,78.55,scattered clouds,36.4141,64.9053,WASIM ASGAR KHAN
280,Iquique,CL,64.44,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
281,Sao Jose Da Coroa Grande,BR,77.45,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
282,Arrecife,ES,69.78,clear sky,28.963,-13.5477,Hotel Lancelot
283,Marsh Harbour,BS,80.71,few clouds,26.5412,-77.0636,Abaco Beach Resort
284,Mbandaka,CD,70.52,broken clouds,0.0487,18.2603,Guest House Epervier
285,Topolobampo,MX,84.88,clear sky,25.6,-109.05,Hotel Marina Topolobampo
286,Conceicao Do Araguaia,BR,76.69,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
287,Opuwo,,61.97,clear sky,-18.0607,13.84,ABBA Guesthouse
291,Lompoc,US,78.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
293,Kawambwa,ZM,66.72,overcast clouds,-9.7915,29.0791,Chembe Nsofu
294,Victoria,HK,77.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
296,Mendi,PG,63.9,overcast clouds,-6.1761,143.6513,Kiburu Lodge
297,Chicama,PE,63.14,few clouds,-7.8447,-79.1469,Balihai Bungalows
298,Shahrud,IR,64.65,overcast clouds,36.4182,54.9763,Royal Hotel
300,Mwinilunga,ZM,60.71,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
301,Kaeo,NZ,65.32,few clouds,-35.1,173.7833,Bushido Lodge
302,Saint-Pierre,RE,73.08,clear sky,-21.3393,55.4781,Alize Plage
304,Kumluca,TR,63.1,clear sky,36.3703,30.2869,TurkuazKöy
305,Pacific Grove,US,69.39,clear sky,36.6177,-121.9166,Lovers Point Inn
309,Cidreira,BR,63.01,clear sky,-30.1811,-50.2056,Hotel Castelo
312,Alta Floresta,BR,72.36,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
313,Bilasipara,IN,76.35,clear sky,26.232,90.2347,Inspection Bunglow
314,Ballina,AU,64.58,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
316,Abonnema,NG,79.09,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
318,Voh,NC,78.46,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
321,Gold Coast,AU,69.01,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
323,San-Pedro,CI,81.01,overcast clouds,4.7485,-6.6363,Hotel Maria
325,Cuamba,MZ,64.89,scattered clouds,-14.8031,36.5372,Hotel Vision
327,Huangmei,CN,67.75,overcast clouds,30.1924,116.025,Tianxiachan Hotel
329,Hambantota,LK,80.22,overcast clouds,6.1241,81.1185,Bungalow 63
330,Moyale,KE,66.56,overcast clouds,3.5167,39.0584,La Tahzan Guest House
332,Puerto Narino,CO,72.68,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
333,Peniche,PT,62.29,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
334,Ruiru,KE,66.67,scattered clouds,-1.1606,36.9567,Overstone Park Hotel
335,Dharchula,IN,64.11,few clouds,29.85,80.5333,Mahara Hotel
338,Angoche,MZ,72.36,few clouds,-16.2325,39.9086,Guest House HESADA
339,Tezu,IN,70.11,scattered clouds,27.9167,96.1667,Circuit House
341,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
344,Kavieng,PG,85.12,broken clouds,-2.5744,150.7967,Nusa Island Retreat
345,Pucallpa,PE,86.04,few clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
346,Wad Rawah,SD,89.62,scattered clouds,15.1603,33.1397,ود الترابي
348,Bachaquero,VE,80.87,broken clouds,9.9694,-71.1494,casa de los dinosaurios
351,Marquette,US,65.64,few clouds,46.5333,-87.6335,Al Quaal Lodge
352,Kushima,JP,69.91,overcast clouds,31.4583,131.2333,Hanaoka
353,Arawa,PG,85.41,scattered clouds,-6.2132,155.5367,Coastline Guest House
354,Rongcheng,CN,66.34,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
355,Kasongo,CD,70.48,overcast clouds,-4.45,26.6667,Guest Hôtel
356,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
358,Nicoya,CR,83.03,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
360,Rawson,AR,70.7,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
362,Muisne,EC,78.58,scattered clouds,0.6,-80.0333,Quinta Samay
364,Kampong Thum,KH,76.89,overcast clouds,12.7111,104.8887,Sambor Village Hotel
365,Damietta,EG,67.89,scattered clouds,31.4165,31.8133,SULIMAN INN
370,Le Port,RE,73.4,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
372,Kavaratti,IN,84.15,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
373,Baturaja,ID,74.05,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
376,Bud,US,67.19,broken clouds,39.447,-86.1758,Ted McQuinn Trust
380,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
381,Bowmore,US,67.62,broken clouds,34.9421,-79.3031,
382,Hamilton,US,61.74,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
385,Gat,IL,63.39,scattered clouds,31.61,34.7642,OlusHome
387,Archidona,ES,60.42,few clouds,37.0965,-4.3887,Hotel Escua
389,Mampong,GH,73.38,broken clouds,7.0627,-1.4001,Adom Upscale Hotel
390,Mitu,CO,73.38,overcast clouds,1.1983,-70.1733,
391,Miracatu,BR,63.72,overcast clouds,-24.2814,-47.4597,Hotel Van Monet
392,Narathiwat,TH,80.11,light rain,6.3333,101.75,MUSOR
394,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
397,Kulhudhuffushi,MV,84.43,overcast clouds,6.6221,73.07,Haajy Guest House 1
398,Natal,BR,79.02,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
405,Lincoln,US,75.29,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
408,Carballo,ES,62.02,overcast clouds,43.213,-8.691,Pazo do Souto
409,Eydhafushi,MV,84.87,overcast clouds,5.1033,73.0708,Soneva Fushi
414,Praia Da Vitoria,PT,61.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
415,Pouembout,NC,77.94,overcast clouds,-21.1333,164.9,Camping de Tipenga
416,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
417,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
418,Beidao,CN,62.29,broken clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
419,Half Moon Bay,US,68.79,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
422,La Palma,US,84.92,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
423,Pont-Saint-Esprit,FR,66.13,few clouds,44.2549,4.6474,Hôtel Le Mas de l'Olivier
425,North Battleford,CA,60.89,few clouds,52.7834,-108.2847,Tropical Inn
426,Inirida,CO,73.74,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
428,Guerrero Negro,MX,67.3,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
429,Necochea,AR,60.78,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
430,Galveston,US,89.71,overcast clouds,29.3669,-94.9669,Crystal Suites
432,Kokoda,PG,82.9,overcast clouds,-8.8785,147.7407,Daito Guest House
433,North Platte,US,83.12,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
434,Marawi,PH,73.78,overcast clouds,7.9986,124.2928,Derogongan Residence
437,Taybad,IR,76.75,few clouds,34.74,60.7756,لی پوش jean center
441,Gwanda,ZW,65.23,broken clouds,-20.9333,29.0,Mafax Homeways
442,Wanning,CN,76.78,overcast clouds,18.8003,110.3967,Paradise Hotel
443,Iracoubo,GF,77.56,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
444,Mana,GF,77.56,broken clouds,5.6592,-53.7767,LE SAMANA
446,Colombo,LK,84.15,overcast clouds,6.9319,79.8478,Galle Face Hotel
448,Jizan,SA,85.14,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
450,Manokwari,ID,82.87,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
452,Sinnamary,GF,77.77,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
453,Atambua,ID,75.49,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
455,Marsa Matruh,EG,66.4,clear sky,31.3525,27.2453,Beau Site
461,Lata,PT,62.08,overcast clouds,40.1629,-8.3327,Casa Maquia
462,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
464,Grenville,GD,82.45,overcast clouds,12.1167,-61.6167,Valley Breeze Guest House
465,Waddan,LY,67.66,clear sky,29.1614,16.139,محل الشريف محمد العايب
468,Kandrian,PG,83.79,few clouds,-6.2167,149.55,Kandrian Station
470,Hami,CN,68.02,broken clouds,42.8,93.45,Laoyutang Resort
471,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
472,Dalbandin,PK,84.85,clear sky,28.8947,64.4101,Sanjrani House
473,Manzanillo,CU,84.63,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
476,Axim,GH,81.32,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
477,San Quintin,MX,64.72,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
479,Bubaque,GW,77.31,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
480,Roebourne,AU,75.34,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
486,Jinji,CN,73.33,overcast clouds,23.2281,110.8261,
492,Carinhanha,BR,83.12,overcast clouds,-14.3047,-43.765,Hotel União
494,Galle,LK,82.06,overcast clouds,6.0367,80.217,Amangalla
498,Winnemucca,US,60.85,broken clouds,40.973,-117.7357,Winners Inn Casino
499,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
500,Corralillo,CU,80.83,overcast clouds,22.9819,-80.5856,Hostal De Pedri
501,Alappuzha,IN,82.63,broken clouds,9.49,76.3264,Panoramic Sea Resort
502,Tahta,EG,75.27,few clouds,26.7693,31.5021,فندق الزيات
505,Savelugu,GH,81.73,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
506,Avera,US,71.65,broken clouds,33.194,-82.5271,
507,Sehithwa,BW,64.87,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
509,Nisia Floresta,BR,79.18,light rain,-6.0911,-35.2086,Rancho Crepusculo
510,Dubti,ET,88.95,few clouds,11.7361,41.0853,degu Shiferaw
511,Mabay,PH,81.82,overcast clouds,6.0577,124.4666,Bautista Lodging House
512,Middletown,US,61.12,overcast clouds,39.5151,-84.3983,Center of Hope for Women and Children
514,Nurota,UZ,75.9,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
515,Cortes,ES,62.65,clear sky,41.9395,-1.4396,Rincon de bu
517,Buin,CL,73.72,clear sky,-33.7333,-70.75,Paihuen
518,Maumere,ID,81.73,few clouds,-8.6199,122.2111,Sylvia Hotel
520,Chesterton,US,63.03,clear sky,41.6106,-87.0642,Hilton Garden Inn Chesterton
521,Baringo,KE,74.61,overcast clouds,0.4667,35.9667,Khoisang Hostels
522,Maragogi,BR,77.02,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
525,Changde,CN,68.4,overcast clouds,29.0464,111.6783,Kangshida Hotel
527,Hindupur,IN,80.6,broken clouds,13.8289,77.4933,Om Shiridi Sai Deluxe Bedding Centre
528,Palmas,BR,82.27,few clouds,-10.2128,-48.3603,Hotel Lago da Palma
529,Kailua,US,80.58,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
530,Ixtapa,MX,87.15,few clouds,20.7,-105.2,hotel la terminal
532,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
535,Tukrah,LY,62.53,clear sky,32.5341,20.5791,Lagrota restaurant
536,Satipo,PE,74.55,scattered clouds,-11.2522,-74.6386,Bungalows El Palmiche
537,Hobyo,SO,82.85,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
540,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
541,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
543,Jerantut,MY,74.48,overcast clouds,3.936,102.3626,Jerantut Hill Resort
544,Qandala,SO,86.16,clear sky,11.472,49.8728,
545,Sinjai,ID,77.4,light rain,-5.1241,120.253,Wisma Sandika
546,Tres Arroyos,AR,62.98,scattered clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
547,Awbari,LY,72.5,clear sky,26.5921,12.7805,فندق أوباري
548,Miyang,CN,61.11,few clouds,24.4042,103.4428,Huibinlou Hotel
549,Mount Pleasant,US,75.99,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
550,Sur,OM,84.06,clear sky,22.5667,59.5289,Sur Plaza Hotel
551,Carutapera,BR,75.76,overcast clouds,-1.195,-46.02,Lidera
554,Itaituba,BR,75.11,broken clouds,-4.2761,-55.9836,Hotel Campos
555,Pombas,CV,69.58,broken clouds,17.1503,-25.0201,Paul Paradis
561,Mumford,GH,81.16,broken clouds,5.2618,-0.759,Spanish Villa
562,Acarau,BR,78.78,broken clouds,-2.8856,-40.12,castelo pizzaria
567,Ilesha,NG,73.56,broken clouds,7.1371,5.2583,Tosap Guest House
569,Yining,CN,67.8,overcast clouds,29.0361,114.5636,Xiushui Hotel
570,Miandrivazo,MG,75.67,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
574,Praia,CV,72.14,scattered clouds,14.9215,-23.5087,LT Aparthotel
576,Pangai,TO,75.24,light rain,-19.8,-174.35,Ha'apai Beach Resort
578,Bossier City,US,87.98,clear sky,32.516,-93.7321,Horseshoe Bossier City
